t:     1500, treinos(rede):   0, erro:  0.0060028732, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 3]:  0.0000000000
t:     1500, treinos(rede):   2, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0858115479, novoW[ 2][ 3]:  0.1716230959
t:     1600, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 3]:  0.0000000000
t:     1600, treinos(rede):   0, erro:  0.0060028732, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 3]:  0.0000000000
t:     1600, treinos(rede):   1, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0429057740, novoW[ 2][ 3]:  0.0858115479
t:     1700, treinos(rede):  20, erro:  0.0509302616, txap:  1.0000000000, delta:  0.9515379071, novoW[ 1][ 0]:  1.9515378475
t:     1700, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 2][ 0]:  0.0000000000
t:     1700, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 0]:  0.0000000000
t:     1800, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 3]:  0.0000000000
t:     1800, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 3]:  0.0000000000
t:     1800, treinos(rede):   1, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0318997167, novoW[ 2][ 3]:  0.0637994334
t:     1900, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 2]:  0.0000000000
t:     1900, treinos(rede):   0, erro:  0.0090042651, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 2]:  0.0000000000
t:     1900, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0066970494, novoW[ 3][ 2]:  0.0133940987
t:     2000, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 2]:  0.0000000000
